Country,Continent,Gender,Asterisk,WorldRecord,Athlete,Year,cleantime,speed
Tonga,Oceania,M,,,Toluta'u Koula,1996,10.56,9.46969697
Tonga,Oceania,F,,,Latai Sikuvea,2002,12.19,8.203445447
Trinidad and Tobago,North America,M,,,Richard Thompson,2014,9.82,10.18329939
Trinidad and Tobago,North America,F,,,Kelly-Ann Baptiste,2010,10.84,9.225092251
Tunisia,Africa,M,,,Badreddine El Toumi,2015,10.38,9.633911368
Tunisia,Africa,F,,,Awatef Hamrouni,2000,11.68,8.561643836
Turkey,Asia,M,,,Jak Ali Harvey,2016,9.92,10.08064516
Turkey,Asia,F,,,Nora Ivanova,2001,11.25,8.888888889
Turkmenistan,Asia,M,,,Mahmoud Yusupov,1992,10.44,9.578544061
Turkmenistan,Asia,F,,,Valentina Nazarova,2008,11.56,8.650519031
Turks and Caicos Islands,North America,M,,,Delano Williams,2013,10.28,9.727626459
Turks and Caicos Islands,North America,F,,,Carolyn Delancy,1978,12.37,8.084074373
Tuvalu,Oceania,M,,,Okilani Tinilau,2011,11.44,8.741258741
Tuvalu,Oceania,F,,,Asenate Manoa,2012,13.48,7.418397626
Uganda,Africa,M,,,Moses Mila,1998,10.48,9.541984733
Uganda,Africa,F,,,Oliver Acii,1990,11.64,8.591065292
